127.0.0.1, 2014-07-16 22:11:34, GET, /admin/static/edit_area/edit_area_full.js, HTTP/1.1, 200, 0.000433
127.0.0.1, 2014-07-16 22:11:34, GET, /admin/static/js/ajax_editor.js, HTTP/1.1, 200, 0.000309
127.0.0.1, 2014-07-16 22:11:34, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.000269
127.0.0.1, 2014-07-16 22:11:34, GET, /admin/static/edit_area/langs/en.js, HTTP/1.1, 200, 0.000590
127.0.0.1, 2014-07-16 22:11:34, GET, /admin/static/edit_area/reg_syntax/python.js, HTTP/1.1, 200, 0.000302
127.0.0.1, 2014-07-16 22:11:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000296
127.0.0.1, 2014-07-16 22:11:35, GET, /admin/static/edit_area/images/search.gif, HTTP/1.1, 200, 0.000546
127.0.0.1, 2014-07-16 22:11:35, GET, /admin/static/edit_area/images/go_to_line.gif, HTTP/1.1, 200, 0.000375
127.0.0.1, 2014-07-16 22:11:35, GET, /admin/static/edit_area/images/fullscreen.gif, HTTP/1.1, 200, 0.000314
127.0.0.1, 2014-07-16 22:11:35, GET, /admin/static/edit_area/images/spacer.gif, HTTP/1.1, 200, 0.000694
127.0.0.1, 2014-07-16 22:11:35, GET, /admin/static/edit_area/images/undo.gif, HTTP/1.1, 200, 0.000427
127.0.0.1, 2014-07-16 22:11:35, GET, /admin/static/edit_area/images/redo.gif, HTTP/1.1, 200, 0.000559
127.0.0.1, 2014-07-16 22:11:35, GET, /admin/static/edit_area/images/move.gif, HTTP/1.1, 200, 0.001417
127.0.0.1, 2014-07-16 22:11:35, GET, /admin/static/edit_area/images/smooth_selection.gif, HTTP/1.1, 200, 0.001012
127.0.0.1, 2014-07-16 22:11:35, GET, /admin/static/edit_area/images/statusbar_resize.gif, HTTP/1.1, 200, 0.004332
127.0.0.1, 2014-07-16 22:11:35, GET, /admin/static/edit_area/images/close.gif, HTTP/1.1, 200, 0.006089
127.0.0.1, 2014-07-16 22:11:35, GET, /admin/static/edit_area/images/word_wrap.gif, HTTP/1.1, 200, 0.000617
127.0.0.1, 2014-07-16 22:11:35, GET, /admin/static/edit_area/images/help.gif, HTTP/1.1, 200, 0.000471
127.0.0.1, 2014-07-16 22:11:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000315
127.0.0.1, 2014-07-16 22:11:35, GET, /admin/static/edit_area/images/reset_highlight.gif, HTTP/1.1, 200, 0.000469
127.0.0.1, 2014-07-16 22:11:35, GET, /admin/static/edit_area/images/highlight.gif, HTTP/1.1, 200, 0.000468
127.0.0.1, 2014-07-16 22:11:45, GET, /admin/default/keepalive, HTTP/1.1, 200, 0.018715
127.0.0.1, 2014-07-16 22:12:07, GET, /admin/default/ticket/ForCA/127.0.0.1.2014-07-16.22-11-23.f8eb8b01-3bad-4bea-ba79-65f0ede035f9, HTTP/1.1, 200, 0.081397
127.0.0.1, 2014-07-16 22:12:07, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.000597
127.0.0.1, 2014-07-16 22:12:07, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.000520
127.0.0.1, 2014-07-16 22:12:07, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.000475
127.0.0.1, 2014-07-16 22:12:07, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 304, 0.001128
127.0.0.1, 2014-07-16 22:12:07, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 304, 0.000612
127.0.0.1, 2014-07-16 22:12:07, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 304, 0.000564
127.0.0.1, 2014-07-16 22:12:07, GET, /admin/static/css/styles.css, HTTP/1.1, 304, 0.001182
127.0.0.1, 2014-07-16 22:12:07, GET, /admin/static/js/web2py_ajax.js, HTTP/1.1, 304, 0.000492
127.0.0.1, 2014-07-16 22:12:07, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000428
127.0.0.1, 2014-07-16 22:12:07, GET, /admin/static/images/help.png, HTTP/1.1, 304, 0.000383
127.0.0.1, 2014-07-16 22:12:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000291
127.0.0.1, 2014-07-16 22:16:43, GET, /ForCA/prof/home, HTTP/1.1, 200, 3.604398
127.0.0.1, 2014-07-16 22:16:43, GET, /ForCA/static/jquery.js, HTTP/1.1, 200, 0.000567
127.0.0.1, 2014-07-16 22:16:43, GET, /ForCA/static/calendar.css, HTTP/1.1, 200, 0.000435
127.0.0.1, 2014-07-16 22:16:43, GET, /ForCA/static/base.css, HTTP/1.1, 200, 0.002267
127.0.0.1, 2014-07-16 22:16:43, GET, /ForCA/static/forca.png, HTTP/1.1, 200, 0.000538
127.0.0.1, 2014-07-16 22:16:43, GET, /ForCA/static/superfish.js, HTTP/1.1, 200, 0.002979
127.0.0.1, 2014-07-16 22:16:43, GET, /ForCA/static/calendar.js, HTTP/1.1, 200, 0.002285
127.0.0.1, 2014-07-16 22:16:43, GET, /ForCA/static/profs/teste.jpg, HTTP/1.1, 404, 0.000649
127.0.0.1, 2014-07-16 22:16:43, GET, /ForCA/static/cross.png, HTTP/1.1, 200, 0.000472
127.0.0.1, 2014-07-16 22:16:43, GET, /ForCA/static/pencil.png, HTTP/1.1, 200, 0.001768
127.0.0.1, 2014-07-16 22:16:43, GET, /ForCA/static/pdf.gif, HTTP/1.1, 200, 0.000367
127.0.0.1, 2014-07-16 22:16:43, GET, /ForCA/static/images/background.png, HTTP/1.1, 200, 0.000501
127.0.0.1, 2014-07-16 22:16:43, GET, /ForCA/static/images/header.png, HTTP/1.1, 200, 0.000464
127.0.0.1, 2014-07-16 22:16:57, GET, /ForCA/disc/list, HTTP/1.1, 200, 3.271155
127.0.0.1, 2014-07-16 22:17:10, GET, /ForCA/admin/index, HTTP/1.1, 500, 3.635877
127.0.0.1, 2014-07-16 22:17:10, GET, /favicon.ico, HTTP/1.1, 400, 0.000335
